Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 Egzaminas
Vardas32 Pavarde32 3 1 3 3 2 6 7 1 4 5
Vardas33 Pavarde33 6 7 8 8 2 9 8 1 9 1
Vardas34 Pavarde34 6 3 2 5 2 3 9 1 6 1
Vardas35 Pavarde35 5 1 9 4 9 3 10 4 7 1
Vardas36 Pavarde36 4 7 7 10 6 8 7 5 2 4
Vardas37 Pavarde37 3 2 7 6 9 3 5 1 1 7
Vardas38 Pavarde38 8 4 1 9 9 3 9 7 4 3
Vardas39 Pavarde39 9 10 6 9 4 4 7 2 7 2
Vardas40 Pavarde40 9 5 2 8 8 5 3 1 3 3
Vardas41 Pavarde41 8 1 6 5 2 10 6 5 6 8
Vardas42 Pavarde42 4 1 1 1 7 9 7 9 8 1
Vardas43 Pavarde43 9 4 9 10 7 9 7 1 1 7
Vardas44 Pavarde44 9 6 9 1 6 5 7 8 1 9
Vardas45 Pavarde45 6 1 9 6 10 4 10 7 7 8
Vardas46 Pavarde46 1 8 9 3 4 3 10 3 5 4
Vardas47 Pavarde47 1 6 3 1 1 8 7 3 1 8
Vardas48 Pavarde48 5 7 10 3 1 10 4 10 2 9
Vardas49 Pavarde49 3 4 1 7 1 2 1 10 7 3
Vardas50 Pavarde50 9 8 5 8 4 7 10 8 10 8
Vardas51 Pavarde51 7 5 5 6 4 2 4 1 3 4
Vardas52 Pavarde52 8 10 3 6 5 2 8 9 2 2
Vardas53 Pavarde53 6 2 5 7 7 9 1 1 6 2
Vardas54 Pavarde54 10 8 4 6 4 8 6 6 5 3
Vardas55 Pavarde55 6 5 7 8 5 8 10 2 1 3
Vardas56 Pavarde56 8 8 10 6 5 3 1 6 8 7
Vardas57 Pavarde57 5 4 8 4 9 4 2 6 10 9
Vardas58 Pavarde58 8 8 6 3 7 7 3 6 4 8
Vardas59 Pavarde59 2 1 6 4 8 4 6 2 8 6
Vardas60 Pavarde60 2 3 9 2 5 2 1 5 4 2
Vardas61 Pavarde61 1 2 5 1 7 5 10 5 10 2
Vardas62 Pavarde62 4 2 8 8 6 9 6 3 5 8
Vardas63 Pavarde63 6 6 10 1 6 3 10 1 8 2
Vardas64 Pavarde64 3 2 5 4 5 6 7 9 6 6
Vardas65 Pavarde65 8 6 8 5 3 8 10 4 8 1
Vardas66 Pavarde66 2 7 1 4 3 4 10 9 10 8
Vardas67 Pavarde67 4 4 8 4 3 4 1 3 3 7
Vardas68 Pavarde68 4 7 6 9 6 6 2 9 10 7
Vardas69 Pavarde69 8 1 2 2 9 2 4 7 10 3
Vardas70 Pavarde70 10 5 4 5 8 9 9 7 8 7
Vardas71 Pavarde71 2 5 6 3 2 9 1 9 3 3
Vardas72 Pavarde72 1 1 9 7 2 7 7 9 6 6
Vardas73 Pavarde73 5 6 10 10 6 9 2 3 10 7
Vardas74 Pavarde74 10 4 7 5 3 2 2 10 5 1
Vardas75 Pavarde75 9 3 5 8 1 4 2 9 4 9
Vardas76 Pavarde76 5 8 6 6 5 3 10 6 3 10
Vardas77 Pavarde77 5 7 6 9 5 7 2 1 9 7
Vardas78 Pavarde78 10 6 7 10 7 3 9 1 2 9
Vardas79 Pavarde79 4 8 2 7 3 9 2 9 9 2
Vardas80 Pavarde80 2 3 9 10 2 8 3 7 1 4
Vardas81 Pavarde81 9 2 1 5 2 10 7 4 1 5
Vardas82 Pavarde82 10 9 9 4 9 2 7 4 4 1
Vardas83 Pavarde83 6 10 4 3 9 9 9 9 7 3
Vardas84 Pavarde84 4 1 6 8 4 10 3 10 5 5
Vardas85 Pavarde85 2 8 9 2 8 8 7 1 3 6
Vardas86 Pavarde86 7 1 3 2 8 8 9 1 8 9
Vardas87 Pavarde87 4 3 3 1 10 7 8 9 7 1
Vardas88 Pavarde88 5 7 6 3 5 3 4 7 8 9
Vardas89 Pavarde89 6 2 9 7 5 6 10 8 5 2
Vardas90 Pavarde90 10 3 6 7 7 8 7 2 4 1
Vardas91 Pavarde91 2 4 4 3 7 5 10 2 10 6
Vardas92 Pavarde92 5 1 10 8 3 2 4 2 2 2
Vardas93 Pavarde93 8 7 6 9 10 5 2 2 7 9
Vardas94 Pavarde94 5 6 5 2 3 8 4 9 10 10
Vardas95 Pavarde95 3 5 9 5 7 10 1 5 6 1
Vardas96 Pavarde96 9 6 7 4 5 1 7 4 6 1
Vardas97 Pavarde97 6 1 9 10 3 9 5 6 1 4
Vardas98 Pavarde98 1 6 6 4 7 7 3 9 8 7
Vardas99 Pavarde99 8 1 10 8 1 6 9 7 8 2
Vardas100 Pavarde100 5 5 8 4 2 7 5 9 1 6
Vardas101 Pavarde101 8 9 9 8 8 8 4 7 6 9
Vardas102 Pavarde102 1 9 4 1 10 4 7 10 9 7
Vardas103 Pavarde103 5 3 4 8 9 1 8 3 9 7
Vardas104 Pavarde104 1 9 2 8 10 5 7 7 9 4
Vardas105 Pavarde105 7 6 3 7 3 10 8 9 2 6
Vardas106 Pavarde106 7 3 7 6 5 5 2 6 4 2
Vardas107 Pavarde107 6 3 9 7 9 1 10 3 10 10
Vardas108 Pavarde108 6 2 9 4 4 1 6 4 3 2
Vardas109 Pavarde109 2 8 6 8 5 10 7 3 7 1
Vardas110 Pavarde110 8 1 7 5 3 7 3 5 7 10
Vardas111 Pavarde111 6 1 3 2 6 4 10 8 1 4
Vardas112 Pavarde112 4 3 6 1 2 2 9 1 4 8
Vardas113 Pavarde113 9 3 6 2 6 7 1 8 8 6
Vardas114 Pavarde114 3 9 8 8 8 1 4 5 7 3
Vardas115 Pavarde115 8 5 9 6 5 4 5 4 4 7
Vardas116 Pavarde116 4 1 5 10 6 9 1 10 10 2
Vardas117 Pavarde117 6 8 2 7 5 3 1 10 9 4
Vardas118 Pavarde118 8 7 6 9 10 4 8 9 6 9
Vardas119 Pavarde119 2 9 9 3 5 7 8 2 7 1
Vardas120 Pavarde120 3 1 2 6 1 8 8 1 7 4
Vardas121 Pavarde121 1 8 9 6 10 10 2 1 1 5
Vardas122 Pavarde122 7 10 7 7 8 6 6 8 9 10
Vardas123 Pavarde123 5 3 7 4 9 1 1 4 6 1
Vardas124 Pavarde124 5 5 9 4 8 6 2 2 6 3
Vardas125 Pavarde125 8 5 5 6 8 3 10 1 2 7
Vardas126 Pavarde126 8 3 7 7 6 7 2 10 8 5
Vardas127 Pavarde127 3 2 3 10 2 4 9 8 5 10
Vardas128 Pavarde128 6 7 3 10 4 5 5 4 5 3
Vardas129 Pavarde129 7 2 3 1 7 9 1 7 8 4
Vardas130 Pavarde130 7 1 1 7 7 4 3 6 2 9
Vardas131 Pavarde131 9 7 3 1 3 6 6 2 5 3
Vardas132 Pavarde132 4 3 1 5 7 9 1 6 2 6
Vardas133 Pavarde133 9 4 1 3 3 1 2 9 2 1
Vardas134 Pavarde134 1 3 8 5 10 10 7 5 9 10
Vardas135 Pavarde135 1 5 1 4 5 7 1 4 6 9
Vardas136 Pavarde136 4 2 10 2 2 10 5 2 4 9
Vardas137 Pavarde137 4 2 6 2 4 7 10 4 5 4
Vardas138 Pavarde138 3 7 4 1 8 7 5 6 2 5
Vardas139 Pavarde139 3 4 4 9 9 10 8 6 7 2
Vardas140 Pavarde140 5 8 7 1 8 5 9 5 10 7
Vardas141 Pavarde141 3 3 4 7 5 7 7 6 10 4
Vardas142 Pavarde142 9 10 7 9 10 10 2 4 6 4
Vardas143 Pavarde143 2 10 6 2 8 5 5 9 9 8
Vardas144 Pavarde144 2 3 3 4 2 7 3 1 10 7
Vardas145 Pavarde145 8 10 9 2 2 10 8 6 7 1
Vardas146 Pavarde146 10 9 4 1 10 9 5 1 7 2
Vardas147 Pavarde147 4 6 2 8 3 2 1 6 1 10
Vardas148 Pavarde148 1 2 3 3 9 4 7 10 6 9
Vardas149 Pavarde149 9 2 1 10 6 4 8 4 10 6
Vardas150 Pavarde150 9 1 5 3 9 6 4 3 8 9
Vardas151 Pavarde151 9 2 2 8 9 10 8 8 3 6
Vardas152 Pavarde152 9 3 1 2 9 10 5 10 7 8
Vardas153 Pavarde153 4 3 9 1 3 8 10 8 5 2
Vardas154 Pavarde154 9 6 6 2 4 5 10 5 9 9
Vardas155 Pavarde155 7 10 5 8 6 7 4 5 10 5
Vardas156 Pavarde156 2 8 7 8 6 3 6 8 10 1
Vardas157 Pavarde157 2 7 6 1 10 1 7 7 1 7
Vardas158 Pavarde158 5 10 4 7 5 1 6 9 5 9
Vardas159 Pavarde159 7 1 8 3 9 7 5 10 2 4
Vardas160 Pavarde160 6 4 7 1 7 9 10 9 4 8
Vardas161 Pavarde161 5 4 8 3 4 3 9 10 2 6
Vardas162 Pavarde162 5 5 5 8 6 2 9 10 10 6
Vardas163 Pavarde163 8 5 6 5 10 8 1 7 8 3
Vardas164 Pavarde164 7 4 1 9 2 8 5 8 10 3
Vardas165 Pavarde165 1 7 4 3 7 2 9 6 10 5
Vardas166 Pavarde166 8 10 8 8 9 8 6 2 4 2
Vardas167 Pavarde167 1 1 10 2 3 8 7 9 9 3
Vardas168 Pavarde168 10 1 6 4 4 8 2 1 6 8
Vardas169 Pavarde169 1 5 1 5 8 2 2 4 7 10
Vardas170 Pavarde170 4 8 8 1 8 2 1 5 3 9
Vardas171 Pavarde171 9 8 4 3 5 3 2 1 9 5
Vardas172 Pavarde172 5 10 6 1 4 3 5 8 4 3
Vardas173 Pavarde173 1 7 5 9 4 9 4 5 10 6
Vardas174 Pavarde174 2 2 9 2 3 8 4 3 8 10
Vardas175 Pavarde175 1 8 8 9 9 1 4 4 4 4
Vardas176 Pavarde176 6 9 6 7 2 9 3 10 5 4
Vardas177 Pavarde177 7 1 7 2 8 4 4 1 10 8
Vardas178 Pavarde178 2 3 2 5 6 9 8 9 1 5
Vardas179 Pavarde179 3 6 10 6 8 8 5 4 4 4
Vardas180 Pavarde180 3 10 1 4 1 5 3 7 7 1
Vardas181 Pavarde181 9 9 7 1 9 4 9 2 7 1
Vardas182 Pavarde182 3 2 5 7 9 8 8 3 6 9
Vardas183 Pavarde183 6 4 3 8 8 10 8 6 7 7
Vardas184 Pavarde184 5 5 5 6 2 7 1 7 4 6
Vardas185 Pavarde185 7 3 7 10 4 3 4 3 4 9
Vardas186 Pavarde186 4 3 10 5 10 5 2 10 5 6
Vardas187 Pavarde187 10 7 9 3 2 3 8 10 6 6
Vardas188 Pavarde188 7 1 1 4 9 9 9 5 3 8
Vardas189 Pavarde189 10 8 4 9 9 3 9 1 4 4
Vardas190 Pavarde190 1 2 6 1 2 7 9 2 9 3
Vardas191 Pavarde191 5 8 7 1 9 7 7 4 1 6
Vardas192 Pavarde192 7 10 6 10 8 5 7 5 2 7
Vardas193 Pavarde193 5 9 8 8 9 8 4 9 10 7
Vardas194 Pavarde194 8 6 3 1 6 6 2 4 3 8
Vardas195 Pavarde195 2 7 6 4 8 2 7 6 8 9
Vardas196 Pavarde196 5 8 4 10 4 6 8 3 1 10
Vardas197 Pavarde197 3 3 1 9 1 9 1 8 9 4
Vardas198 Pavarde198 1 1 8 7 8 9 5 7 10 4
Vardas199 Pavarde199 9 3 1 5 1 10 7 7 7 10
Vardas200 Pavarde200 1 3 1 8 2 2 10 9 5 4
Vardas201 Pavarde201 6 9 8 5 7 9 6 6 6 3
Vardas202 Pavarde202 1 3 3 10 2 9 5 4 1 2
Vardas203 Pavarde203 5 10 2 9 8 2 9 10 9 5
Vardas204 Pavarde204 4 2 4 9 7 1 5 1 2 8
Vardas205 Pavarde205 2 8 1 2 3 3 8 1 6 1
Vardas206 Pavarde206 6 1 6 4 10 7 7 6 3 10
Vardas207 Pavarde207 6 4 7 3 10 10 1 1 6 2
Vardas208 Pavarde208 6 5 9 10 1 1 7 1 4 2
Vardas209 Pavarde209 8 3 5 3 7 6 5 6 3 7
Vardas210 Pavarde210 6 10 8 8 10 5 9 9 5 1
Vardas211 Pavarde211 4 10 5 9 9 4 2 4 9 4
Vardas212 Pavarde212 9 5 6 9 9 7 1 8 10 10
Vardas213 Pavarde213 5 3 4 2 10 1 7 9 10 6
Vardas214 Pavarde214 10 2 5 7 4 5 2 1 8 4
Vardas215 Pavarde215 1 10 4 5 10 9 9 3 4 9
Vardas216 Pavarde216 2 5 1 6 2 2 2 1 4 8
Vardas217 Pavarde217 3 3 2 3 3 4 5 4 5 8
Vardas218 Pavarde218 8 10 4 9 10 9 7 8 8 9
Vardas219 Pavarde219 10 3 3 4 10 5 3 9 9 9
Vardas220 Pavarde220 10 6 5 2 8 6 4 10 10 9
Vardas221 Pavarde221 3 1 2 4 3 5 1 2 10 7
Vardas222 Pavarde222 7 2 8 6 10 7 5 6 7 2
Vardas223 Pavarde223 4 10 3 7 4 4 2 8 4 3
Vardas224 Pavarde224 10 8 1 1 6 9 10 6 7 9
Vardas225 Pavarde225 10 5 5 3 10 6 4 3 3 8
Vardas226 Pavarde226 8 7 10 9 2 8 10 5 9 4
Vardas227 Pavarde227 3 7 1 4 4 10 4 9 7 8
Vardas228 Pavarde228 2 2 7 6 10 2 7 2 8 7
Vardas229 Pavarde229 6 8 6 10 5 2 6 4 3 8
Vardas230 Pavarde230 2 6 8 8 5 8 6 6 9 4
Vardas231 Pavarde231 8 8 9 8 10 4 5 2 3 3
Vardas232 Pavarde232 8 1 10 8 2 7 3 7 7 4
Vardas233 Pavarde233 2 9 9 5 9 7 10 6 6 9
Vardas234 Pavarde234 6 6 3 6 6 9 3 8 8 8
Vardas235 Pavarde235 8 3 2 9 7 2 6 4 5 2
Vardas236 Pavarde236 3 1 1 9 7 10 10 4 2 4
Vardas237 Pavarde237 3 10 5 5 1 6 8 6 9 2
Vardas238 Pavarde238 7 3 8 8 2 7 6 9 4 6
Vardas239 Pavarde239 10 10 9 4 9 6 9 6 1 7
Vardas240 Pavarde240 2 6 2 8 4 2 7 4 1 10
Vardas241 Pavarde241 2 5 2 7 8 3 7 9 7 6
Vardas242 Pavarde242 9 8 10 5 6 2 7 10 5 4
Vardas243 Pavarde243 5 9 8 5 5 6 10 2 10 6
Vardas244 Pavarde244 10 7 7 6 8 4 4 9 8 8
Vardas245 Pavarde245 7 5 6 5 9 9 1 4 2 3
Vardas246 Pavarde246 2 6 2 10 1 9 6 5 7 10
Vardas247 Pavarde247 5 7 2 8 9 1 3 7 7 5
Vardas248 Pavarde248 10 9 7 10 6 6 3 7 2 3
Vardas249 Pavarde249 5 4 1 3 8 10 5 6 1 6
Vardas250 Pavarde250 5 4 4 7 7 6 3 8 3 7
Vardas251 Pavarde251 1 10 2 5 7 10 10 4 5 5
Vardas252 Pavarde252 1 4 5 3 10 2 8 5 3 2
Vardas253 Pavarde253 4 2 7 5 4 8 5 6 6 7
Vardas254 Pavarde254 9 10 2 9 10 3 2 3 7 10
Vardas255 Pavarde255 7 10 1 6 8 2 9 6 1 2
Vardas256 Pavarde256 9 1 2 3 8 9 5 10 4 2
Vardas257 Pavarde257 2 2 7 6 4 4 6 9 2 7
Vardas258 Pavarde258 6 7 2 3 8 9 1 9 2 7
Vardas259 Pavarde259 7 8 3 4 3 1 7 3 3 1
Vardas260 Pavarde260 2 5 2 6 3 5 7 2 5 2
Vardas261 Pavarde261 7 9 2 2 9 4 10 1 1 1
Vardas262 Pavarde262 1 9 6 10 10 1 10 6 9 7
Vardas263 Pavarde263 3 1 5 8 2 5 1 7 1 9
Vardas264 Pavarde264 4 9 5 3 2 1 8 5 3 1
Vardas265 Pavarde265 10 10 2 6 4 5 4 5 6 3
Vardas266 Pavarde266 3 8 4 7 2 6 2 9 6 1
Vardas267 Pavarde267 8 6 5 10 8 5 9 8 8 1
Vardas268 Pavarde268 2 10 8 10 7 9 5 5 2 1
Vardas269 Pavarde269 5 2 1 5 6 1 8 5 5 2
Vardas270 Pavarde270 3 3 5 7 5 3 7 3 6 10
Vardas271 Pavarde271 10 5 3 9 7 7 4 5 5 5
Vardas272 Pavarde272 4 5 6 6 10 8 2 9 10 8
Vardas273 Pavarde273 8 8 8 10 6 7 3 10 2 10
Vardas274 Pavarde274 6 8 9 9 4 5 1 9 1 5
Vardas275 Pavarde275 2 8 4 6 2 8 5 10 8 5
Vardas276 Pavarde276 5 4 9 6 6 4 4 2 3 8
Vardas277 Pavarde277 6 2 9 9 9 9 6 3 7 10
Vardas278 Pavarde278 4 1 6 3 9 10 4 1 3 6
Vardas279 Pavarde279 3 3 4 5 1 1 1 9 10 6
Vardas280 Pavarde280 2 4 4 3 6 3 8 8 8 1
Vardas281 Pavarde281 1 10 2 5 4 10 8 10 2 6
Vardas282 Pavarde282 9 7 7 7 10 10 5 8 6 4
Vardas283 Pavarde283 1 1 9 7 4 7 9 5 3 5
Vardas284 Pavarde284 2 10 9 2 3 9 2 10 6 3
Vardas285 Pavarde285 8 5 7 10 10 4 1 7 4 10
Vardas286 Pavarde286 5 2 2 5 10 1 6 3 1 9
Vardas287 Pavarde287 3 4 3 9 5 1 5 5 9 6
Vardas288 Pavarde288 10 7 6 8 5 5 10 8 8 1
Vardas289 Pavarde289 10 10 1 1 3 9 6 3 2 5
Vardas290 Pavarde290 7 2 1 8 1 5 10 1 8 9
Vardas291 Pavarde291 2 7 9 1 2 8 2 2 8 2
Vardas292 Pavarde292 6 2 7 10 7 3 8 2 9 4
Vardas293 Pavarde293 1 4 4 10 2 3 6 10 4 10
Vardas294 Pavarde294 6 6 4 8 9 10 8 10 6 8
Vardas295 Pavarde295 3 5 9 6 5 5 8 5 2 9
Vardas296 Pavarde296 2 8 1 7 6 4 6 3 4 10
Vardas297 Pavarde297 3 10 4 2 9 8 9 9 3 1
Vardas298 Pavarde298 1 5 3 10 5 4 7 9 2 9
Vardas299 Pavarde299 1 8 7 8 1 9 5 9 2 2
Vardas300 Pavarde300 5 7 5 4 6 4 6 8 2 8
Vardas301 Pavarde301 3 2 10 1 8 9 2 9 8 10
Vardas302 Pavarde302 8 2 10 6 6 6 3 1 2 2
Vardas303 Pavarde303 5 6 8 3 10 7 2 6 3 5
Vardas304 Pavarde304 9 5 7 5 10 5 10 10 10 3
Vardas305 Pavarde305 2 2 9 9 5 9 3 1 7 10
Vardas306 Pavarde306 7 8 1 2 8 1 1 5 3 10
Vardas307 Pavarde307 1 3 2 5 7 8 2 4 9 2
Vardas308 Pavarde308 4 1 2 10 9 4 2 6 6 2
Vardas309 Pavarde309 8 3 10 6 6 4 7 6 10 2
Vardas310 Pavarde310 9 3 2 2 5 2 9 4 5 3
Vardas311 Pavarde311 3 9 7 1 10 4 3 6 1 3
Vardas312 Pavarde312 9 8 9 4 3 5 3 9 2 2
Vardas313 Pavarde313 7 10 6 5 4 8 8 2 9 5
Vardas314 Pavarde314 4 4 9 8 8 2 7 8 1 10
Vardas315 Pavarde315 9 7 9 4 2 4 5 3 8 5
Vardas316 Pavarde316 1 2 3 3 6 2 9 3 10 10
Vardas317 Pavarde317 2 6 7 10 8 9 5 3 6 2
Vardas318 Pavarde318 2 4 2 10 9 1 1 4 7 10
Vardas319 Pavarde319 3 5 2 2 4 3 9 5 8 2
Vardas320 Pavarde320 1 2 6 5 8 9 7 2 5 6
Vardas321 Pavarde321 4 7 10 4 6 1 3 1 2 8
Vardas322 Pavarde322 9 3 9 8 3 8 7 5 10 1
Vardas323 Pavarde323 2 7 9 2 10 7 2 7 8 8
Vardas324 Pavarde324 7 4 1 2 5 6 9 8 8 7
Vardas325 Pavarde325 1 7 2 2 10 5 7 9 1 3
Vardas326 Pavarde326 4 2 8 9 4 6 5 7 9 5
Vardas327 Pavarde327 5 4 2 6 9 10 6 10 8 5
Vardas328 Pavarde328 10 5 5 3 7 8 6 3 6 10
Vardas329 Pavarde329 5 5 1 8 1 1 9 6 6 2
Vardas330 Pavarde330 4 5 4 5 2 5 10 5 4 5
Vardas331 Pavarde331 5 3 9 10 3 7 1 2 5 3
Vardas332 Pavarde332 10 10 8 1 9 1 1 4 10 3
Vardas333 Pavarde333 4 7 5 3 5 1 1 5 3 1
Vardas334 Pavarde334 8 10 4 6 3 7 7 9 3 4
Vardas335 Pavarde335 5 10 7 3 5 2 9 10 2 9
Vardas336 Pavarde336 9 10 2 6 3 4 8 7 6 7
Vardas337 Pavarde337 5 10 8 10 3 4 9 5 2 6
Vardas338 Pavarde338 5 3 1 8 6 3 1 8 10 5
Vardas339 Pavarde339 7 5 6 8 10 1 1 10 9 1
Vardas340 Pavarde340 7 7 9 6 10 5 3 8 5 5
Vardas341 Pavarde341 1 8 1 3 3 4 4 3 7 10
Vardas342 Pavarde342 8 8 2 4 1 6 7 3 4 10
Vardas343 Pavarde343 6 4 1 6 2 7 6 8 3 4
Vardas344 Pavarde344 3 6 5 4 5 7 3 8 7 10
Vardas345 Pavarde345 2 3 7 3 3 1 1 3 7 7
Vardas346 Pavarde346 2 1 6 9 10 10 7 10 6 7
Vardas347 Pavarde347 2 3 10 6 5 6 4 1 7 4
Vardas348 Pavarde348 9 1 2 8 7 10 3 2 9 5
Vardas349 Pavarde349 3 10 4 5 5 7 10 2 4 3
Vardas350 Pavarde350 5 7 4 6 3 2 3 8 2 4
Vardas351 Pavarde351 8 2 6 7 8 5 1 10 6 6
Vardas352 Pavarde352 3 7 8 5 2 6 6 6 1 7
Vardas353 Pavarde353 3 10 3 4 5 5 5 7 5 8
Vardas354 Pavarde354 1 2 9 6 2 2 2 4 3 7
Vardas355 Pavarde355 4 9 2 2 10 8 8 6 9 5
Vardas356 Pavarde356 6 5 5 6 4 5 9 1 3 4
Vardas357 Pavarde357 7 8 9 10 10 8 10 8 10 4
Vardas358 Pavarde358 3 8 1 4 4 9 10 10 5 9
Vardas359 Pavarde359 10 10 2 6 9 7 4 6 6 3
Vardas360 Pavarde360 9 9 10 7 2 5 8 1 8 8
Vardas361 Pavarde361 9 1 3 2 2 4 1 1 8 10
Vardas362 Pavarde362 6 3 5 1 4 10 9 6 3 9
Vardas363 Pavarde363 9 5 2 7 3 6 9 9 5 7
Vardas364 Pavarde364 8 7 4 6 7 5 3 7 9 3
Vardas365 Pavarde365 6 7 3 7 6 3 3 5 7 5
Vardas366 Pavarde366 2 9 5 5 2 1 7 4 1 9
Vardas367 Pavarde367 7 3 7 2 6 5 9 2 10 9
Vardas368 Pavarde368 2 3 8 1 3 8 5 10 3 6
Vardas369 Pavarde369 6 7 5 6 10 10 1 1 9 5
Vardas370 Pavarde370 9 6 6 8 6 9 2 2 10 1
Vardas371 Pavarde371 9 1 1 3 1 6 3 5 2 4
Vardas372 Pavarde372 6 5 9 9 10 8 7 2 8 7
Vardas373 Pavarde373 3 2 7 8 1 3 6 5 10 6
Vardas374 Pavarde374 8 6 4 4 7 7 6 5 6 7
Vardas375 Pavarde375 1 3 9 4 10 4 3 7 8 10
Vardas376 Pavarde376 10 5 1 10 4 8 7 7 3 1
Vardas377 Pavarde377 7 10 8 8 1 1 2 4 4 2
Vardas378 Pavarde378 6 4 6 4 3 3 4 2 8 1
Vardas379 Pavarde379 1 3 3 2 5 1 1 6 8 2
Vardas380 Pavarde380 3 9 4 10 7 8 2 3 3 6
Vardas381 Pavarde381 7 10 6 1 1 2 7 9 3 7
Vardas382 Pavarde382 8 9 5 10 1 1 3 3 10 10
Vardas383 Pavarde383 2 6 7 8 8 1 5 5 5 10
Vardas384 Pavarde384 2 1 6 5 8 4 5 1 1 5
Vardas385 Pavarde385 6 9 3 8 8 9 4 2 4 5
Vardas386 Pavarde386 1 10 8 5 10 10 7 7 6 2
Vardas387 Pavarde387 2 5 10 4 10 8 7 5 4 1
Vardas388 Pavarde388 5 2 8 7 1 2 6 5 7 1
Vardas389 Pavarde389 1 1 2 5 9 2 8 10 4 1
Vardas390 Pavarde390 7 1 7 6 6 2 8 9 10 1
Vardas391 Pavarde391 9 2 2 8 3 4 1 5 10 3
Vardas392 Pavarde392 6 10 7 5 2 4 10 1 6 5
Vardas393 Pavarde393 3 9 8 4 3 3 6 6 5 2
Vardas394 Pavarde394 5 1 9 3 8 7 9 1 3 9
Vardas395 Pavarde395 2 8 3 7 1 6 10 9 5 5
Vardas396 Pavarde396 8 4 1 3 4 1 8 5 8 2
Vardas397 Pavarde397 8 2 6 3 4 1 2 8 5 5
Vardas398 Pavarde398 1 3 7 9 6 2 1 2 9 6
Vardas399 Pavarde399 7 1 4 10 4 7 3 10 8 1
Vardas400 Pavarde400 8 6 2 6 5 3 3 3 5 10
Vardas401 Pavarde401 10 2 9 4 2 6 10 1 2 7
Vardas402 Pavarde402 1 7 4 8 3 2 4 9 5 10
Vardas403 Pavarde403 5 1 6 3 3 10 6 7 3 10
Vardas404 Pavarde404 3 7 7 9 3 9 1 7 6 3
Vardas405 Pavarde405 8 8 3 2 3 9 6 8 7 9
Vardas406 Pavarde406 3 2 4 9 6 8 6 9 8 5
Vardas407 Pavarde407 6 9 1 7 9 10 8 1 9 4
Vardas408 Pavarde408 3 5 1 1 4 7 6 2 1 5
Vardas409 Pavarde409 5 9 3 9 5 2 1 4 4 7
Vardas410 Pavarde410 9 3 8 6 10 4 2 1 6 10
Vardas411 Pavarde411 8 10 8 10 4 3 10 10 9 4
Vardas412 Pavarde412 9 7 6 10 5 1 4 4 9 8
Vardas413 Pavarde413 5 9 8 3 7 1 7 1 10 6
Vardas414 Pavarde414 1 9 8 7 5 5 10 7 3 1
Vardas415 Pavarde415 3 8 1 2 9 9 8 5 2 3
Vardas416 Pavarde416 3 10 6 4 4 5 9 2 5 3
Vardas417 Pavarde417 10 2 5 3 6 6 4 5 5 3
Vardas418 Pavarde418 3 6 1 7 4 6 5 1 4 8
Vardas419 Pavarde419 3 5 9 4 5 2 3 5 2 7
Vardas420 Pavarde420 7 9 6 3 5 6 2 6 9 10
Vardas421 Pavarde421 1 1 6 9 7 1 5 3 7 3
